github_org,org_type,govuk_slug,england_planning_data_reference,wikidata_id,site_slug,site_url
HfdsCouncil,english_council,,HEF,Q5738061,herefordshire-council,https://publicsectorcodebyorg.co.uk/org/herefordshire-council
rushmoor,english_council,,RUH,Q73072730,rushmoor-borough-council,https://publicsectorcodebyorg.co.uk/org/rushmoor-borough-council
smbc-digital,english_council,,SKP,Q7618164,stockport-metropolitan-borough-council,https://publicsectorcodebyorg.co.uk/org/stockport-metropolitan-borough-council
surreydigitalservices,english_council,,SRY,Q6386325,surrey-county-council,https://publicsectorcodebyorg.co.uk/org/surrey-county-council
LondonBoroughSutton,english_council,,STN,Q7650288,london-borough-of-sutton,https://publicsectorcodebyorg.co.uk/org/london-borough-of-sutton
TraffordCouncil,english_council,,TRF,Q17034839,trafford-metropolitan-borough-council,https://publicsectorcodebyorg.co.uk/org/trafford-metropolitan-borough-council
warwickshire,english_council,,WAR,Q17066348,warwickshire-county-council,https://publicsectorcodebyorg.co.uk/org/warwickshire-county-council
west-berkshire-council,english_council,,WBK,Q17041496,west-berkshire-council,https://publicsectorcodebyorg.co.uk/org/west-berkshire-council
CityOfYork,english_council,,YOR,Q17059453,city-of-york-council,https://publicsectorcodebyorg.co.uk/org/city-of-york-council
KLBC-WebTeam,english_council,,KIN,Q73072537,borough-council-of-kings-lynn-and-west-norfolk,https://publicsectorcodebyorg.co.uk/org/borough-council-of-kings-lynn-and-west-norfolk
edinburghcouncil,other,,,Q28530250,city-of-edinburgh-council,https://publicsectorcodebyorg.co.uk/org/city-of-edinburgh-council
LlGC-NLW,other,,,Q666063,national-library-of-wales,https://publicsectorcodebyorg.co.uk/org/national-library-of-wales
DundeeCityCouncil,other,,,Q28528294,dundee-city-council,https://publicsectorcodebyorg.co.uk/org/dundee-city-council
openglasgow,other,,,Q130637,glasgow-city-council,https://publicsectorcodebyorg.co.uk/org/glasgow-city-council
TheHighlandCouncil,other,,,Q28530249,the-highland-council,https://publicsectorcodebyorg.co.uk/org/the-highland-council
wmfs,other,,,Q7985942,west-midlands-fire-service,https://publicsectorcodebyorg.co.uk/org/west-midlands-fire-service
NationalLibraryOfScotland,other,,,Q1670994,national-library-of-scotland,https://publicsectorcodebyorg.co.uk/org/national-library-of-scotland
scottish-environment-protection-agency,other,,,Q7437713,scottish-environment-protection-agency,https://publicsectorcodebyorg.co.uk/org/scottish-environment-protection-agency
ScottishParliament,other,,,Q206171,scottish-parliament,https://publicsectorcodebyorg.co.uk/org/scottish-parliament
GSTT-CSC,other,,,Q16993504,guys-and-st-thomas-nhs-foundation-trust,https://publicsectorcodebyorg.co.uk/org/guys-and-st-thomas-nhs-foundation-trust
ukfrs-hertsfrs,other,,,Q5744781,hertfordshire-fire-and-rescue-service,https://publicsectorcodebyorg.co.uk/org/hertfordshire-fire-and-rescue-service
Public-Health-Scotland,other,,,Q89284077,public-health-scotland,https://publicsectorcodebyorg.co.uk/org/public-health-scotland
GMFRS,other,,,Q5600639,greater-manchester-fire-and-rescue-service,https://publicsectorcodebyorg.co.uk/org/greater-manchester-fire-and-rescue-service
nhscymru,other,,,Q6954180,nhs-wales,https://publicsectorcodebyorg.co.uk/org/nhs-wales
TransportScotland,other,,,Q7834896,transport-scotland,https://publicsectorcodebyorg.co.uk/org/transport-scotland
CDU-data-science-team,other,,,Q17017470,nottinghamshire-healthcare-nhs-foundation-trust,https://publicsectorcodebyorg.co.uk/org/nottinghamshire-healthcare-nhs-foundation-trust
Scottish-Natural-Heritage,other,,,Q1537425,naturescot,https://publicsectorcodebyorg.co.uk/org/naturescot
ukparliament,other,,,Q11010,parliament-of-the-united-kingdom,https://publicsectorcodebyorg.co.uk/org/parliament-of-the-united-kingdom
UKParliData,other,,,Q11010,parliament-of-the-united-kingdom,https://publicsectorcodebyorg.co.uk/org/parliament-of-the-united-kingdom
houseofcommonslibrary,other,,,Q11010,parliament-of-the-united-kingdom,https://publicsectorcodebyorg.co.uk/org/parliament-of-the-united-kingdom
MarineScotlandScience,other,,,Q6764218,marine-scotland,https://publicsectorcodebyorg.co.uk/org/marine-scotland
ukwa,gov_uk,british-library,,Q23308,british-library,https://publicsectorcodebyorg.co.uk/org/british-library
britishlibrary,gov_uk,british-library,,Q23308,british-library,https://publicsectorcodebyorg.co.uk/org/british-library
